,Job_Title,Company,Location,Level,Type,Function,Industry
0,Customer Delight ( Multiple Roles ),Blinkit,"Gurugram, Haryana, India",Mid-Senior level,"Customer Service, Quality Assurance, and Information Technology",Full-time,"Food and Beverage Services, Consumer Services, and Retail"
1,Office Assistant,Aditya Birla Capital,"Kolkata, West Bengal, India",Entry level,Administrative,Full-time,Financial Services
2,Junior Data Analyst,Super Scholar,"Delhi, India",Associate,Information Technology,Full-time,Education Administration Programs
3,Business Analyst & Strategic Projects,Aditya Birla Chemicals,"Worli, Maharashtra, India",Mid-Senior level,"General Business, Management, and Project Management",Full-time,"Chemical Raw Materials Manufacturing, Chemical Manufacturing, and Wholesale Chemical and Allied Products"
4,Data Analyst,JioSaavn,Mumbai Metropolitan Region,Associate,Analyst,Full-time,"Broadcast Media Production and Distribution, Technology, Information and Media, and Entertainment Providers"
5,Senior Data Analyst,Nykaa,"Bengaluru, Karnataka, India",Associate,Analyst,Full-time,Retail Apparel and Fashion
6,Data entry,Naukripay,"Lucknow, Uttar Pradesh, India",Entry level,Administrative,Full-time,Human Resources Services
7,Data Entry Executive,GoComet,"Mumbai, Maharashtra, India",Executive,Business Development and Sales,Full-time,"Transportation, Logistics, Supply Chain and Storage"
8,Data Entry Specialist | Remote,Nao Medical,Greater Delhi Area,Entry level,Administrative,Full-time,Hospitals and Health Care
9,2,PT Adaro Energy Indonesia Tbk,"Anupgarh, Rajasthan, India",Not Applicable,Other,Full-time,Mining
10,Data Analyst,Renault Nissan Technology & Business Centre India,"Chennai, Tamil Nadu, India",Not Applicable,Information Technology,Full-time,IT Services and IT Consulting
11,Data Analyst,LTIMindtree,"Pune, Maharashtra, India",Mid-Senior level,Engineering,Full-time,IT Services and IT Consulting
12,CBG Projects & New Initiatives Team,Axis Bank,Mumbai Metropolitan Region,Mid-Senior level,"Product Management, Analyst, and Project Management",Full-time,"Banking, Financial Services, and Investment Banking"
13,Data Analyst,Talent Disruptors,India,Entry level,Information Technology,Full-time,Staffing and Recruiting
14,Data Analyst,Freespace,"Coimbatore, Tamil Nadu, India",Mid-Senior level,Information Technology,Full-time,"Technology, Information and Media"
15,Data Entry Operator,Sharp HRD Services,"Mumbai, Maharashtra, India",Entry level,Administrative,Full-time,Staffing and Recruiting
16,Data entry,Naukripay,"Rajkot, Gujarat, India",Entry level,Administrative,Full-time,Human Resources Services
17,Data entry,Naukripay,"Bathinda, Punjab, India",Entry level,Administrative,Full-time,Human Resources Services
18,Data Analyst- Operations,apna,"Bengaluru, Karnataka, India",Associate,Analyst,Full-time,"Technology, Information and Internet"
19,Data Analyst,Airtel Digital,"Gurugram, Haryana, India",Mid-Senior level,Analyst,Full-time,"Technology, Information and Internet"
20,Data Analyst,Airtel Digital,"Gurugram, Haryana, India",Mid-Senior level,Analyst,Full-time,"Technology, Information and Internet"
21,Digital Marketing Manager,Marico Limited,"Mumbai, Maharashtra, India",Mid-Senior level,"Marketing, Advertising, and Design",Full-time,Advertising Services
22,Administrative Data Analyst,Super Scholar,Mumbai Metropolitan Region,Executive,Analyst,Full-time,Education Administration Programs
23,Administrative Data Analyst,Super Scholar,"Delhi, Delhi, India",Executive,Analyst,Full-time,Education Administration Programs
24,Data Scientist,IndusInd Bank,"Gurugram, Haryana, India",Mid-Senior level,Analyst,Full-time,Banking
25,Data Scientist Intern,SatSure,"Bengaluru East, Karnataka, India",Entry level,Science,Full-time,"Technology, Information and Media"
26,"Business Analyst (Full Time, Remote)",Hike,"Delhi, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,"Technology, Information and Internet"
27,Data Entry Specialist (Freshers Only),The Golden Rise,"Karimnagar, Telangana, India",Entry level,Administrative,Full-time,"Technology, Information and Internet"
28,Data Science,Dimensions HRD Consultants,"Gurugram, Haryana, India",Mid-Senior level,Engineering and Information Technology,Full-time,Banking
29,Data Entry,Zigsaw,"Mumbai, Maharashtra, India",Entry level,Administrative,Full-time,Community Services
